Report Number,Report Date,Occur Date,Occur Time,Possible Date,Possible Time,Beat,Apartment Office Prefix,Apartment Number,Location,Shift Occurrence,Location Type,UCR Literal,UCR #,IBR Code,Neighborhood,NPU,Latitude,Longitude
190010138,1/1/19,1/1/19,20,1/1/19,25,511,,,50 UPPER ALABAMA ST SW,Morning Watch,13,LARCENY-NON VEHICLE,620,2302,Downtown,M,33.75194,-84.38964
190010299,1/1/19,1/1/19,120,1/1/19,130,511,,,20 BROAD ST,Morning Watch,,LARCENY-NON VEHICLE,620,2302,Downtown,M,33.75312,-84.39208
190011858,1/1/19,1/1/19,1740,1/1/19,1750,411,,A15,3000 CONTINENTAL COLONY PKWY SW,Evening Watch,26,LARCENY-NON VEHICLE,620,2302,Greenbriar,R,33.68077,-84.4937
190010716,1/1/19,12/31/18,2350,1/1/19,315,604,,,486 DECATUR ST SE,Morning Watch,13,LARCENY-FROM VEHICLE,640,2305,Sweet Auburn,M,33.75126,-84.37207
190010831,1/1/19,1/1/18,414,1/1/18,414,410,,,1941 FORT VALLEY DR SW,Morning Watch,20,LARCENY-FROM VEHICLE,640,2305,Pomona Park,R,33.70204,-84.44972
190010905,1/1/19,1/1/19,400,1/1/19,500,512,,,253 TRINITY AVE SW,Morning Watch,18,LARCENY-FROM VEHICLE,640,2305,Downtown,M,33.75082,-84.39615
190011054,1/1/19,1/1/19,125,1/1/19,127,412,,,2149 BRIAR GLEN LN SW,Morning Watch,20,LARCENY-FROM VEHICLE,640,2305,Briar Glen,P,33.69612,-84.5037
190011151,1/1/19,1/1/19,920,1/1/19,930,205,,,2020 HOWELL MILL RD NW @PUBLIX - HOWELL,Day Watch,18,LARCENY-FROM VEHICLE,640,2305,Wildwood (NPU-C),C,33.81022,-84.41347
190011172,1/1/19,1/1/19,137,1/1/19,915,211,,1405,2399 PARKLAND DR NE,Day Watch,26,LARCENY-FROM VEHICLE,640,2305,Lindbergh/Morosgo,B,33.8201,-84.36481
190011191,1/1/19,12/31/18,1100,1/1/19,1004,509,,614,530 PIEDMONT AVE NE,Day Watch,18,LARCENY-FROM VEHICLE,640,2305,Downtown,M,33.76909,-84.38208
190011288,1/1/19,1/1/19,130,1/1/19,1116,605,,,641 ROSALIA ST SE,Day Watch,13,LARCENY-FROM VEHICLE,640,2305,Grant Park,W,33.73867,-84.36653
190011304,1/1/19,12/29/18,330,12/29/18,645,409,,,1690 HARBIN ROAD SW,Morning Watch,18,LARCENY-FROM VEHICLE,640,2305,Laurens Valley,R,33.70933,-84.48177
190011314,1/1/19,1/1/19,1004,1/1/19,1004,306,,,1959 METROPOLITAN PKWY SW,Day Watch,18,LARCENY-FROM VEHICLE,640,2305,Sylvan Hills,X,33.7008,-84.41018
190011357,1/1/19,1/1/19,100,1/1/19,1205,301,,,746 LEXINGTON AVE SW,Day Watch,13,LARCENY-FROM VEHICLE,640,2305,Adair Park,V,33.72443,-84.41222
190011581,1/1/19,1/1/19,1100,1/1/19,1450,303,,,558 CENTRAL AVE SW,Evening Watch,99,LARCENY-FROM VEHICLE,640,2305,Mechanicsville,V,33.73951,-84.39345
190011593,1/1/19,1/1/19,1430,1/1/19,1515,602,,,1031 PONCE DE LEON AVE NE @MAJESTIC DINER,Evening Watch,18,LARCENY-FROM VEHICLE,640,2305,Poncey-Highland,N,33.77373,-84.35395
190011777,1/1/19,12/31/18,1700,1/1/19,1200,208,,,3334 PEACHTREE RD NE,Day Watch,,LARCENY-FROM VEHICLE,640,2305,North Buckhead,B,33.84911,-84.37075
190012068,1/1/19,1/1/19,1930,1/1/19,2200,509,,,207 PEACHTREE CENTER AVE NE,Evening Watch,18,LARCENY-FROM VEHICLE,640,2305,Downtown,M,33.7602,-84.38554
190012208,1/1/19,1/1/19,1809,1/1/19,2040,507,,A,574 MARIETTA ST NW,Evening Watch,13,LARCENY-FROM VEHICLE,640,2305,Downtown,M,33.76897,-84.39868
190012236,1/1/19,1/1/19,2200,1/1/19,2215,207,,,1198 HOWELL MILL RD NW,Morning Watch,18,LARCENY-FROM VEHICLE,640,2305,Blandtown,D,33.78703,-84.41185
190012268,1/1/19,1/1/19,2140,1/1/19,2210,504,,,935 MARIETTA ST NW,Evening Watch,18,LARCENY-FROM VEHICLE,640,2305,Marietta Street Artery,E,33.77795,-84.40849
190010087,1/1/19,1/1/19,100,1/1/19,115,401,,,1384 LUCILE AVE SW,Morning Watch,20,LARCENY-FROM VEHICLE,640,2305,Westview,T,33.74209,-84.43313
190010095,1/1/19,12/31/18,2242,12/31/18,2248,604,,,569 EZZARD ST SE,Morning Watch,18,LARCENY-FROM VEHICLE,640,2305,Old Fourth Ward,M,33.75305,-84.36861
190010365,1/1/19,12/31/18,1840,1/1/19,0,508,,,275 BAKER ST NW,Morning Watch,18,LARCENY-FROM VEHICLE,640,2305,Downtown,M,33.76206,-84.39568
190010456,1/1/19,12/31/18,2357,1/1/19,240,507,,,492 LARKIN ST SW,Morning Watch,13,LARCENY-FROM VEHICLE,640,2305,Castleberry Hill,M,33.7476,-84.4037
190010532,1/1/19,12/31/18,2300,1/1/19,130,501,,,981 HOWELL MILL RD NW,Morning Watch,13,LARCENY-FROM VEHICLE,640,2305,Home Park,E,33.78177,-84.41058
190010579,1/1/19,12/31/18,1930,1/1/19,215,610,,,2161 COLLEGE AVE NE,Morning Watch,21,LARCENY-FROM VEHICLE,640,2305,Kirkwood,O,33.76408,-84.31645
190010845,1/1/19,1/1/19,415,1/1/19,420,607,,,1362 BOULEVARD SE,Morning Watch,23,LARCENY-NON VEHICLE,630,2303,Benteen Park,W,33.71744,-84.36818
190011541,1/1/19,1/1/19,1400,1/1/19,1430,210,,,3393 PEACHTREE RD NE @LENOX MALL,Evening Watch,8,LARCENY-NON VEHICLE,630,2303,Lenox,B,33.84676,-84.36212
190011619,1/1/19,1/1/19,1528,1/1/19,1528,210,,,3393 PEACHTREE RD NE @LENOX MALL,Evening Watch,24,LARCENY-NON VEHICLE,630,2303,Lenox,B,33.84676,-84.36212
190011772,1/1/19,1/1/19,1615,1/1/19,1836,210,,,3393 PEACHTREE RD NE @LENOX MALL,Evening Watch,8,LARCENY-NON VEHICLE,630,2303,Lenox,B,33.84676,-84.36212
190012152,1/1/19,1/1/19,2050,1/1/19,2050,301,,,902 DILL AVE SW,Evening Watch,12,LARCENY-NON VEHICLE,630,2303,Capitol View,X,33.71803,-84.41768
190011948,1/1/19,1/1/19,1700,1/1/19,1830,609,,,1225 CAROLINE ST NE,Evening Watch,12,LARCENY-NON VEHICLE,660,2317,Edgewood,O,33.75605,-84.34813
190011642,1/1/19,1/1/19,1100,1/1/19,1545,201,,,3150 HOWELL MILL RD NW @JEWISH HOME,Evening Watch,99,LARCENY-NON VEHICLE,670,2308,,C,33.83951,-84.42835
190011645,1/1/19,1/1/19,1530,1/1/19,1549,310,,,680 MCWILLIAMS RD SE @TULL WATER PARK,Evening Watch,31,ROBBERY-PEDESTRIAN,317,1299G,Lakewood,Z,33.68883,-84.36607
190010533,1/1/19,1/1/19,200,1/1/19,209,211,,,2581 PIEDMONT RD NE @LINDBERGH PLAZA,Morning Watch,,AUTO THEFT,710,2404,Lindbergh/Morosgo,B,33.82561,-84.36535
190010855,1/1/19,1/1/19,330,1/1/19,415,510,,,17 JESSE HILL JR DR NE,Morning Watch,13,AUTO THEFT,710,2404,Downtown,M,33.75445,-84.38026
190011227,1/1/19,12/31/18,1930,12/31/18,2000,113,,,2685 DONALD LEE HOLLOWELL PKWY NW ,Day Watch,23,AUTO THEFT,710,2404,Brookview Heights,G,33.77736,-84.47524
190011965,1/1/19,1/1/19,1845,1/1/19,1845,402,,,1182 MERRILL AVE SW,Evening Watch,13,AUTO THEFT,710,2404A,Oakland City,S,33.7284,-84.42654
190012123,1/1/19,1/1/19,100,1/1/19,200,512,,,156 FORSYTH ST SW,Morning Watch,18,AUTO THEFT,710,2404,Downtown,M,33.75017,-84.39515
190011276,1/1/19,1/1/19,1050,1/1/19,1110,501,,B,201 16TH ST NW,Day Watch,26,ROBBERY-RESIDENCE,345,1209,Atlantic Station,E,33.79025,-84.39372
190010952,1/1/19,1/1/19,545,1/1/19,630,102,,,144 MAPLE ST NW,Morning Watch,20,ROBBERY-PEDESTRIAN,311,1204,Vine City,L,33.75854,-84.40561
190010004,1/1/19,1/1/19,1,1/1/19,30,102,,,135 GRIFFIN ST NW,Morning Watch,20,AGG ASSAULT,410,1314,Vine City,L,33.75839,-84.41115
190010302,1/1/19,1/1/19,102,1/1/19,102,413,,,4012 WAITS AVE SW,Morning Watch,20,AGG ASSAULT,410,1314,Fairburn,P,33.69257,-84.52048
190010679,1/1/19,1/1/19,255,1/1/19,301,102,,,104 GRIFFIN ST NW,Morning Watch,20,AGG ASSAULT,410,1314,Vine City,L,33.75751,-84.41174
190010898,1/1/19,1/1/19,450,1/1/19,455,303,,,599 WHITEHALL ST SW,Unknown,3,AGG ASSAULT,410,1314,Pittsburgh,V,33.74277,-84.40756
190011834,1/1/19,1/1/19,1732,1/1/19,1740,112,,,3292 AMHURST DR NW,Evening Watch,20,AGG ASSAULT,410,1314,Collier Heights,I,33.77326,-84.49532
190010741,1/1/19,1/1/19,300,1/1/19,300,506,,,728 MONROE DR NE,Morning Watch,3,AGG ASSAULT,420,1315K,Midtown,E,33.77438,-84.37122
190011331,1/1/19,12/31/18,2030,1/1/19,1130,605,,,860 GLENWOOD AVE SE,Day Watch,20,LARCENY-FROM VEHICLE,650,2304,Grant Park,W,33.74032,-84.35965
190012351,1/1/19,1/1/19,2315,1/1/19,2326,212,,,2448 CHESHIRE BRIDGE RD NE,Morning Watch,23,ROBBERY-COMMERCIAL,313,1201C,Lindridge/Martin Manor,F,33.82169,-84.35201
190010999,1/1/19,1/1/19,630,1/1/19,638,414,,,3670 CAMP CREEK PKWY SW,Day Watch,18,AGG ASSAULT,430,1315,Princeton Lakes,P,33.655,-84.50859
190010580,1/1/19,12/31/18,1905,12/31/18,2205,501,,1031,470 16TH ST NW,Morning Watch,26,BURGLARY-RESIDENCE,511,2202,Home Park,E,33.7883,-84.40387
190011032,1/1/19,12/26/18,1000,1/1/19,630,303,,10,685 COOPER ST SW,Day Watch,26,BURGLARY-RESIDENCE,511,2202,Mechanicsville,V,33.73618,-84.39718
190011394,1/1/19,12/23/18,2100,1/1/19,1233,403,,L-2,1240 OAKLAND DR SW,Morning Watch,26,BURGLARY-RESIDENCE,511,2202,Oakland City,S,33.72138,-84.42733
190012331,1/1/19,12/15/18,600,1/1/19,2313,103,,1239,820 W MARIETTA ST NW,Morning Watch,26,BURGLARY-RESIDENCE,511,2202,English Avenue,L,33.78045,-84.41554
190011443,1/1/19,12/31/18,1500,1/1/19,1300,404,,,1485 RALPH D ABERNATHY BLVD SW,Evening Watch,99,BURGLARY-NONRES,512,2203,Westview,T,33.74221,-84.43621
190012325,1/1/19,1/1/19,2200,1/2/19,100,404,,A,1528 RALPH D ABERNATHY BLVD SW,Morning Watch,99,BURGLARY-NONRES,512,2203,Westview,T,33.74302,-84.4376
190011334,1/1/19,12/1/18,1600,1/1/19,1100,101,,518,130 LAWSHE ST SW,Day Watch,26,BURGLARY-RESIDENCE,521,2204,The Villages at Castleberry Hill,T,33.75069,-84.4112
190012028,1/1/19,1/1/19,1500,1/1/19,1929,607,,59-A,1940 FISHER RD SE,Evening Watch,26,BURGLARY-RESIDENCE,521,2204,Custer/McDonough/Guice,W,33.70979,-84.35849
190012327,1/1/19,1/1/19,1700,1/1/19,2230,102,,,285 ANDREW J HAIRSTON PL NW,Morning Watch,20,BURGLARY-RESIDENCE,521,2204,Vine City,L,33.76239,-84.41368
190012129,1/1/19,1/1/19,2040,1/1/19,2040,106,,,860 MARIETTA BLVD NW,Morning Watch,13,BURGLARY-NONRES,522,2205,Knight Park/Howell Station,K,33.77887,-84.42798
190020405,1/2/19,1/2/19,100,1/2/19,104,207,,,1784 PEACHTREE ST NW,Morning Watch,21,BURGLARY-NONRES,522,2205,Ardmore,E,33.80334,-84.39351
190020244,1/2/19,1/2/19,343,1/2/19,346,204,,,1789 HOWELL MILL RD NW,Morning Watch,21,BURGLARY-NONRES,512,2203,Berkeley Park,D,33.80343,-84.41372
190020288,1/2/19,1/2/19,440,1/2/19,450,202,,,3535 NORTHSIDE PKWY NW,Morning Watch,24,BURGLARY-NONRES,512,2203,Randall Mill,A,33.85087,-84.42902
190020763,1/2/19,12/29/18,1730,1/2/19,1030,409,,,2209 BOULEVARD GRANADA SW,Day Watch,20,BURGLARY-RESIDENCE,511,2202,Adams Park,R,33.71774,-84.46076
190021260,1/2/19,1/2/19,400,1/2/19,700,111,,,171 HERMER CIR NW,Morning Watch,20,BURGLARY-RESIDENCE,511,2202,,I,33.75837,-84.48541
190021263,1/2/19,12/15/18,1200,1/2/19,1600,205,,1509,214 COLONIAL HOMES DR NW,Unknown,26,BURGLARY-RESIDENCE,511,2202,Colonial Homes,C,33.81392,-84.39459
190021317,1/2/19,12/26/18,1700,1/2/19,1600,212,,2005,415 ARMOUR DR NE,Evening Watch,,BURGLARY-RESIDENCE,511,2202,,F,33.81267,-84.37412
190020994,1/2/19,1/2/19,1300,1/2/19,1400,512,,,234 MEMORIAL DR SW,Day Watch,26,AGG ASSAULT,430,1315,Downtown,M,33.7465,-84.39536
190021591,1/2/19,1/2/19,1200,1/2/19,1800,207,,,1695 NORTHSIDE DR NW,Evening Watch,23,AGG ASSAULT,410,1314,Loring Heights,E,33.80107,-84.40742
190021902,1/2/19,1/2/19,2230,1/2/19,2245,211,,,2161 PIEDMONT RD NE,Morning Watch,,AGG ASSAULT,410,1314,Lindridge/Martin Manor,F,33.81558,-84.366
190020020,1/2/19,1/2/19,17,1/2/19,141,611,,,2898 GLENWOOD AVE SE,Morning Watch,20,ROBBERY-RESIDENCE,315,1207,East Lake,O,33.73918,-84.29214
190020866,1/2/19,1/2/19,1200,1/2/19,1212,605,,,487 GRANT ST SE,Day Watch,20,ROBBERY-PEDESTRIAN,311,1204,Grant Park,W,33.74135,-84.3766
190021453,1/2/19,1/2/19,1600,1/2/19,1728,110,,,750 FRANCIS PL NW,Evening Watch,13,ROBBERY-PEDESTRIAN,341,1206,Grove Park,J,33.77495,-84.43798
190020045,1/2/19,1/2/19,25,1/2/19,30,113,,,3181 DONALD LEE HOLLOWELL PKWY NW @PETRO TRUCK STOP,Morning Watch,23,AUTO THEFT,710,2404,Brookview Heights,G,33.78652,-84.49013
190020267,1/2/19,1/2/19,412,1/2/19,958,611,,,2400 FOREST LAKES AVE SE,Morning Watch,20,AUTO THEFT,710,2404,The Villages at East Lake,O,33.74514,-84.31064
190020294,1/2/19,1/2/19,30,1/2/19,108,114,,K7,420 BOLTON RD NW,Morning Watch,13,AUTO THEFT,710,2404,Old Gordon,H,33.76604,-84.51029
190020420,1/2/19,12/28/18,2059,1/2/19,746,503,,1513,22 14TH ST NW,Morning Watch,18,AUTO THEFT,710,2404,Midtown,E,33.78658,-84.38835
190020425,1/2/19,1/1/19,2000,1/2/19,430,304,,8,1053 LINAM ST SE,Day Watch,26,AUTO THEFT,710,2404,Peoplestown,V,33.72579,-84.38625
190020573,1/2/19,1/1/19,1500,1/2/19,910,211,,,2591 PIEDMONT RD NE,Evening Watch,18,AUTO THEFT,710,2404,Lindbergh/Morosgo,B,33.82494,-84.36684
190020602,1/2/19,1/1/19,2200,1/2/19,900,404,,,1761 S ALVARADO TER SW,Evening Watch,20,AUTO THEFT,710,2404,Cascade Avenue/Road,S,33.72984,-84.44582
190020626,1/2/19,1/1/19,0,1/1/19,200,303,,,599 WHITEHALL ST SW,Day Watch,13,AUTO THEFT,710,2404,Pittsburgh,V,33.74277,-84.40756
190021016,1/2/19,12/31/18,100,12/31/18,800,306,,,977 KATHERWOOD DR SW,Day Watch,20,AUTO THEFT,710,2404,Sylvan Hills,X,33.71111,-84.42028
190021080,1/2/19,1/2/19,1345,1/2/19,1400,401,,,711 LEE ST SW,Day Watch,2,AUTO THEFT,710,2404,West End,T,33.73528,-84.41421
190021549,1/2/19,1/2/19,1826,1/2/19,1826,403,,,1219 LOCKWOOD DR SW,Evening Watch,20,AUTO THEFT,710,2404,Venetian Hills,S,33.72194,-84.43905
190021659,1/2/19,1/2/19,1915,1/2/19,1923,401,,,535 LEE ST SW,Evening Watch,23,AUTO THEFT,710,2404,West End,T,33.74042,-84.41435
190021797,1/2/19,12/30/18,0,1/2/19,2000,305,,1104,1195 MILTON TER SE,Evening Watch,13,AUTO THEFT,710,2404,Chosewood Park,Y,33.72186,-84.38105
190020792,1/2/19,1/2/19,1129,1/2/19,1129,508,,,300 PEACHTREE ST NE,Day Watch,24,ROBBERY-COMMERCIAL,322,1202K,Downtown,M,33.76293,-84.38714
190020392,1/2/19,1/1/19,1000,1/1/19,1100,509,,,265 PEACHTREE ST NE ,Day Watch,14,LARCENY-NON VEHICLE,690,2399,Downtown,M,33.76152,-84.38672
190020393,1/2/19,12/31/18,1645,1/2/19,700,203,,,2700 PAUL AVE NW,Unknown,6,LARCENY-NON VEHICLE,690,2399,Bolton,D,33.81734,-84.46807
190020719,1/2/19,1/2/19,1044,1/2/19,1100,305,,C,1378 PARK AVE SE,Evening Watch,26,LARCENY-NON VEHICLE,690,2399,Chosewood Park,Y,33.71691,-84.3699
190021398,1/2/19,1/2/19,1645,1/2/19,1645,406,B,,3164 CUSHMAN CIR SW,Evening Watch,26,LARCENY-NON VEHICLE,690,2399,,I,33.74898,-84.49168
190021471,1/2/19,1/1/19,100,1/1/19,130,402,,,1436 COPELAND AVE SW,Morning Watch,20,LARCENY-NON VEHICLE,690,2399,West End,T,33.73582,-84.43462
190021503,1/2/19,1/2/19,1800,1/2/19,1803,109,,,635 S GRAND AVE NW,Evening Watch,13,LARCENY-NON VEHICLE,690,2399,Center Hill,J,33.77247,-84.46243
190021910,1/2/19,1/2/19,2253,1/2/19,2253,306,,,2065 METROPOLITAN PKWY SW,Morning Watch,21,LARCENY-NON VEHICLE,690,2399,Sylvan Hills,X,33.69961,-84.40849
190020874,1/2/19,1/1/19,1200,1/1/19,2330,211,,,658 LINDBERGH DR NE,Day Watch,26,LARCENY-NON VEHICLE,670,2308,Lindbergh/Morosgo,B,33.82206,-84.36586
190020952,1/2/19,12/21/18,1800,1/2/19,1300,602,,,836 DIXIE AVE NE,Day Watch,20,LARCENY-NON VEHICLE,670,2308,Inman Park,N,33.75701,-84.36042
190021110,1/2/19,1/2/19,1430,1/2/19,1430,503,,,850 PIEDMONT AVE,Day Watch,26,LARCENY-NON VEHICLE,670,2308,Downtown,M,33.76004,-84.38918
190021974,1/2/19,1/2/19,2218,1/2/19,2243,605,,,364 HILL ST SE,Morning Watch,23,LARCENY-NON VEHICLE,670,2308,Grant Park,W,33.74475,-84.37895
190020748,1/2/19,1/2/19,1100,1/2/19,1108,102,,,835 MARTIN L KING JR DR NW,Day Watch,12,LARCENY-NON VEHICLE,630,2303,Vine City,L,33.75504,-84.41457
190020781,1/2/19,1/2/19,1120,1/2/19,1125,102,,,835 MARTIN LUTHER KING DR SW,Day Watch,12,LARCENY-NON VEHICLE,630,2303,Vine City,L,33.75504,-84.41457
190020809,1/2/19,1/2/19,1137,1/2/19,1137,509,,,610 SPRING ST NW,Day Watch,23,LARCENY-NON VEHICLE,630,2303,Downtown,M,33.77101,-84.38895
190021556,1/2/19,1/2/19,1820,1/2/19,1820,610,,,225 CLIFTON ST SE,Evening Watch,23,LARCENY-NON VEHICLE,630,2303,Kirkwood,O,33.7477,-84.33202
190020355,1/2/19,1/1/19,1214,1/2/19,615,205,,,214 COLONIAL HOMES DR NW,Morning Watch,,LARCENY-FROM VEHICLE,640,2305,Colonial Homes,C,33.81392,-84.39459
190020359,1/2/19,12/31/18,530,1/2/19,600,602,,,670 DEKALB AVE SE,Day Watch,13,LARCENY-FROM VEHICLE,640,2305,Inman Park,N,33.75371,-84.36535
190020365,1/2/19,1/1/19,1800,1/2/19,700,605,,,275 MEMORIAL DR SE,Day Watch,18,LARCENY-FROM VEHICLE,640,2305,Grant Park,W,33.74676,-84.37856
190020403,1/2/19,1/1/19,2030,1/2/19,720,504,,203,455 CENTENNIAL OLYMPIC P DR NW,Day Watch,18,LARCENY-FROM VEHICLE,640,2305,Downtown,M,33.76697,-84.39178
190020457,1/2/19,1/1/19,2300,1/2/19,750,208,,,3398 PIEDMONT RD NE,Morning Watch,18,LARCENY-FROM VEHICLE,640,2305,Buckhead Forest,B,33.84712,-84.37385
190020463,1/2/19,1/1/19,900,1/2/19,800,210,,,3212 TOWERVIEW DR NE,Day Watch,20,LARCENY-FROM VEHICLE,640,2305,Pine Hills,B,33.84143,-84.35355
190020502,1/2/19,1/1/19,2200,1/2/19,830,211,,2434,517 MAIN ST NE,Day Watch,26,LARCENY-FROM VEHICLE,640,2305,Lindbergh/Morosgo,B,33.8225,-84.37031
190020598,1/2/19,1/2/19,200,1/2/19,800,602,,,433 N HIGHLAND AVE NE,Day Watch,13,LARCENY-FROM VEHICLE,640,2305,Inman Park,N,33.76595,-84.35403
190020660,1/2/19,12/22/18,900,12/22/18,1030,501,,,441 16TH ST NW @IKEA,Day Watch,13,LARCENY-FROM VEHICLE,640,2305,Atlantic Station,E,33.78874,-84.40468
190020771,1/2/19,1/2/19,0,1/2/19,1115,604,,,120 HILLIARD ST NE,Day Watch,13,LARCENY-FROM VEHICLE,640,2305,Sweet Auburn,M,33.75744,-84.37668
190020843,1/2/19,12/31/18,1700,1/1/19,1645,505,,,696 W PEACHTREE ST NW,Day Watch,18,LARCENY-FROM VEHICLE,640,2305,Midtown,E,33.77371,-84.38772
190020933,1/2/19,7/26/18,2003,7/26/18,2145,508,,,285 MARIETTA ST NW,Evening Watch,18,LARCENY-FROM VEHICLE,640,2305,Downtown,M,33.76097,-84.3951
190021043,1/2/19,1/2/19,1340,1/2/19,1345,209,,,3861 ROSWELL RD NE,Evening Watch,18,LARCENY-FROM VEHICLE,640,2305,North Buckhead,B,33.8596,-84.37979
190021066,1/2/19,1/2/19,1345,1/2/19,1428,504,,,826 MARIETTA ST NW,Evening Watch,18,LARCENY-FROM VEHICLE,640,2305,Marietta Street Artery,E,33.77477,-84.4067
190021074,1/2/19,1/2/19,1350,1/2/19,1414,206,,,575 PHARR RD NE,Evening Watch,18,LARCENY-FROM VEHICLE,640,2305,Garden Hills,B,33.83647,-84.36909
190021118,1/2/19,1/2/19,1420,1/2/19,1425,508,,,275 MARIETTA ST NW,Day Watch,18,LARCENY-FROM VEHICLE,640,2305,Downtown,M,33.76099,-84.39553
190021164,1/2/19,12/31/18,1700,1/2/19,1000,502,,,37 LAFAYETTE DR NE,Evening Watch,13,LARCENY-FROM VEHICLE,640,2305,Ansley Park,E,33.78976,-84.38129
190021204,1/2/19,1/1/19,1215,1/2/19,1521,601,,,891 ROSEDALE RD NE,Evening Watch,,LARCENY-FROM VEHICLE,640,2305,Virginia Highland,F,33.77882,-84.34807
190021258,1/2/19,1/2/19,1518,1/2/19,1540,611,,,2266 SUTTON ST SE,Evening Watch,20,LARCENY-FROM VEHICLE,640,2305,Kirkwood,O,33.7484,-84.31328
190021289,1/2/19,1/2/19,1430,1/2/19,1557,411,,,2841 GREENBRIAR PKWY SW @GREENBRIAR MALL,Evening Watch,18,LARCENY-FROM VEHICLE,640,2305,Greenbriar,R,33.68845,-84.49328
190021353,1/2/19,12/28/18,0,12/28/18,400,604,,,98 WILLIAM H BORDERS DR SE,Evening Watch,,LARCENY-FROM VEHICLE,640,2305,Sweet Auburn,M,33.75118,-84.37486
190021414,1/2/19,1/1/19,2300,1/2/19,800,210,,,3518 ROCKHAVEN CIR NE,Evening Watch,20,LARCENY-FROM VEHICLE,640,2305,Pine Hills,B,33.8476,-84.35236
190021454,1/2/19,1/2/19,0,1/2/19,1200,508,,,17 BAKER ST NW,Day Watch,,LARCENY-FROM VEHICLE,640,2305,Downtown,M,33.76235,-84.38819
190021753,1/2/19,1/2/19,1915,1/2/19,2030,207,,,1968 PEACHTREE RD NW ,Morning Watch,28,LARCENY-FROM VEHICLE,640,2305,,E,33.81,-84.39583
190021773,1/2/19,1/2/19,1930,1/2/19,2045,211,,,3097 PIEDMONT RD NE,Evening Watch,18,LARCENY-FROM VEHICLE,640,2305,Peachtree Park,B,33.84034,-84.36887
190021804,1/2/19,1/2/19,2100,1/2/19,2117,303,,,634 WHITEHALL ST SW,Morning Watch,23,LARCENY-FROM VEHICLE,640,2305,Adair Park,V,33.74179,-84.40844
190021828,1/2/19,1/2/19,2100,1/2/19,2130,208,,,3365 PIEDMONT RD NE,Evening Watch,18,LARCENY-FROM VEHICLE,640,2305,North Buckhead,B,33.84687,-84.37284
190021897,1/2/19,1/2/19,2200,1/2/19,2221,211,,,3085 PIEDMONT RD NE,Morning Watch,18,LARCENY-FROM VEHICLE,640,2305,Peachtree Park,B,33.83988,-84.36899
190021952,1/2/19,1/2/19,2033,1/2/19,2145,505,,,794 JUNIPER ST NE,Evening Watch,18,LARCENY-FROM VEHICLE,640,2305,Midtown,E,33.7762,-84.38319
190020615,1/2/19,1/1/19,1240,1/1/19,1245,207,,,1845 PEACHTREE RD NE,Morning Watch,21,BURGLARY-NONRES,532,2203A,Brookwood Hills,E,33.80538,-84.39373
190021710,1/2/19,1/2/19,2032,1/2/19,2032,508,,,218 PEACHTREE ST NW,Evening Watch,23,LARCENY-NON VEHICLE,630,2303,Downtown,M,33.76028,-84.38768
190021845,1/2/19,1/2/19,2149,1/2/19,2149,402,,,590 CASCADE AVE SW @KROGER - CASCADE,Evening Watch,12,LARCENY-NON VEHICLE,630,2303,West End,T,33.7375,-84.43314
190030224,1/3/19,1/3/19,40,1/3/19,330,409,,,2959 CAMPBELLTON RD SW,Morning Watch,23,LARCENY-NON VEHICLE,630,2303,Southwest,R,33.69731,-84.48504
190031247,1/3/19,1/3/19,1500,1/3/19,1530,210,,,3393 PEACHTREE RD NE @LENOX MALL,Evening Watch,8,LARCENY-NON VEHICLE,630,2303,Lenox,B,33.84676,-84.36212
190031415,1/3/19,1/3/19,1455,1/3/19,1715,609,,,1275 CAROLINE ST NE,Evening Watch,8,LARCENY-NON VEHICLE,630,2303,Edgewood,O,33.75674,-84.34619
190031847,1/3/19,1/3/19,2036,1/3/19,2036,210,,,3393 PEACHTREE RD NE @LENOX MALL,Evening Watch,24,LARCENY-NON VEHICLE,630,2303,Lenox,B,33.84676,-84.36212
190021989,1/3/19,1/2/19,2340,1/3/19,2345,207,,,1939 PEACHTREE RD NW,Morning Watch,18,LARCENY-FROM VEHICLE,640,2305,,E,33.80792,-84.39379
190030404,1/3/19,1/2/19,2200,1/3/19,730,211,,,800 SIDNEY MARCUS BLVD NE,Day Watch,14,LARCENY-FROM VEHICLE,640,2305,Lindbergh/Morosgo,B,33.82674,-84.36131
190030442,1/3/19,1/2/19,2000,1/3/19,740,206,,,3092 PIEDMONT RD NE,Day Watch,14,LARCENY-FROM VEHICLE,640,2305,Buckhead Village,B,33.8399,-84.37007
190030758,1/3/19,1/3/19,1000,1/3/19,1056,508,,,186 CENTENNIAL OLYMPIC P DR NW,Day Watch,18,LARCENY-FROM VEHICLE,640,2305,Downtown,M,33.75991,-84.39217
190030897,1/3/19,1/2/19,2145,1/2/19,2200,101,,,111 OZONE ST SW,Day Watch,18,LARCENY-FROM VEHICLE,640,2305,Atlanta University Center,T,33.75156,-84.41677
190031004,1/3/19,1/3/19,1347,1/3/19,1500,510,,,81 PEACHTREE CENTER AVE NE,Day Watch,18,LARCENY-FROM VEHICLE,640,2305,Downtown,M,33.75665,-84.386
190031111,1/3/19,1/3/19,1420,1/3/19,1450,309,,,757 CLEVELAND AVE SW,Evening Watch,23,LARCENY-FROM VEHICLE,640,2305,Perkerson,X,33.68232,-84.41417
